Date,KSE100,Nestle_PK,Abbott_PK,National_Foods,Lucky_Cement,HBL_Bank,PSO,OGDC
2010-01-01,,562.9600830078125,47.500675201416016,7.054945468902588,50.974937438964844,21.34020233154297,38.27743148803711,29.498281478881836
2010-01-04,9437.849609375,562.9600830078125,47.500675201416016,7.054945468902588,50.974937438964844,21.34020233154297,38.27743148803711,29.498281478881836
2010-01-05,9657.3798828125,562.9600830078125,47.500675201416016,7.054945468902588,50.974937438964844,21.34020233154297,38.27743148803711,29.498281478881836
2010-01-06,9727.3603515625,562.9600830078125,47.500675201416016,7.054945468902588,50.974937438964844,21.34020233154297,38.27743148803711,29.498281478881836
2010-01-07,9737.4697265625,562.9600830078125,47.500675201416016,7.054945468902588,50.974937438964844,21.34020233154297,38.27743148803711,29.498281478881836
2010-01-08,9776.2099609375,562.9600830078125,47.500675201416016,7.054945468902588,50.974937438964844,21.34020233154297,38.27743148803711,29.498281478881836
2010-01-11,9797.0,562.9600830078125,47.500675201416016,7.054945468902588,50.974937438964844,21.34020233154297,38.27743148803711,29.498281478881836
2010-01-12,9778.3603515625,562.9600830078125,47.500675201416016,7.054945468902588,50.974937438964844,21.34020233154297,38.27743148803711,29.498281478881836
2010-01-13,9784.849609375,562.9600830078125,47.500675201416016,7.054945468902588,50.974937438964844,21.34020233154297,38.27743148803711,29.498281478881836
2010-01-14,9802.4501953125,562.9600830078125,47.500675201416016,7.054945468902588,50.974937438964844,21.34020233154297,38.27743148803711,29.498281478881836
2010-01-15,9923.1396484375,562.9600830078125,47.500675201416016,7.054945468902588,50.974937438964844,21.34020233154297,38.27743148803711,29.498281478881836
2010-01-18,,562.9600830078125,47.500675201416016,7.054945468902588,50.974937438964844,21.34020233154297,38.27743148803711,29.498281478881836
2010-01-19,9954.41015625,562.9600830078125,47.500675201416016,7.054945468902588,50.974937438964844,21.34020233154297,38.27743148803711,29.498281478881836
2010-01-20,9904.740234375,562.9600830078125,47.500675201416016,7.054945468902588,50.974937438964844,21.34020233154297,38.27743148803711,29.498281478881836
2010-01-21,9753.83984375,562.9600830078125,47.500675201416016,7.054945468902588,50.974937438964844,21.34020233154297,38.27743148803711,29.498281478881836
