Date,KSE100,Nestle_PK,Abbott_PK,Lucky_Cement,HBL_Bank
2010-01-01,,562.9599609375,47.50067138671875,50.97492980957031,21.34019660949707
2010-01-04,9437.849609375,562.9599609375,47.50067138671875,50.97492980957031,21.34019660949707
2010-01-05,9657.3798828125,562.9599609375,47.50067138671875,50.97492980957031,21.34019660949707
2010-01-06,9727.3603515625,562.9599609375,47.50067138671875,50.97492980957031,21.34019660949707
2010-01-07,9737.4697265625,562.9599609375,47.50067138671875,50.97492980957031,21.34019660949707
2010-01-08,9776.2099609375,562.9599609375,47.50067138671875,50.97492980957031,21.34019660949707
2010-01-11,9797.0,562.9599609375,47.50067138671875,50.97492980957031,21.34019660949707
2010-01-12,9778.3603515625,562.9599609375,47.50067138671875,50.97492980957031,21.34019660949707
2010-01-13,9784.849609375,562.9599609375,47.50067138671875,50.97492980957031,21.34019660949707
2010-01-14,9802.4501953125,562.9599609375,47.50067138671875,50.97492980957031,21.34019660949707
2010-01-15,9923.1396484375,562.9599609375,47.50067138671875,50.97492980957031,21.34019660949707
2010-01-18,,562.9599609375,47.50067138671875,50.97492980957031,21.34019660949707
2010-01-19,9954.41015625,562.9599609375,47.50067138671875,50.97492980957031,21.34019660949707
2010-01-20,9904.740234375,562.9599609375,47.50067138671875,50.97492980957031,21.34019660949707
2010-01-21,9753.83984375,562.9599609375,47.50067138671875,50.97492980957031,21.34019660949707
2010-01-22,9774.0703125,562.9599609375,47.50067138671875,50.97492980957031,21.34019660949707
2010-01-25,9689.2001953125,562.9599609375,47.50067138671875,50.97492980957031,21.34019660949707
2010-01-26,9666.48046875,562.9599609375,47.50067138671875,50.97492980957031,21.34019660949707
2010-01-27,9603.5498046875,562.9599609375,47.50067138671875,50.97492980957031,21.34019660949707
2010-01-28,9579.8095703125,562.9599609375,47.50067138671875,50.97492980957031,21.34019660949707
2010-01-29,9614.1904296875,562.9599609375,47.50067138671875,50.97492980957031,21.34019660949707
2010-02-01,9591.5,562.9599609375,47.50067138671875,50.97492980957031,21.34019660949707
2010-02-02,9595.240234375,562.9599609375,47.50067138671875,50.97492980957031,21.34019660949707
2010-02-03,9627.6298828125,562.9599609375,47.50067138671875,50.97492980957031,21.34019660949707
2010-02-04,9769.73046875,562.9599609375,47.50067138671875,50.97492980957031,21.34019660949707
2010-02-05,,562.9599609375,47.50067138671875,50.97492980957031,21.34019660949707
2010-02-08,9809.98046875,562.9599609375,47.50067138671875,50.97492980957031,21.34019660949707
2010-02-09,9786.4599609375,562.9599609375,47.50067138671875,50.97492980957031,21.34019660949707
2010-02-10,9733.3603515625,562.9599609375,47.50067138671875,50.97492980957031,21.34019660949707
2010-02-11,9802.7998046875,562.9599609375,47.50067138671875,50.97492980957031,21.34019660949707
2010-02-12,9805.8701171875,562.9599609375,47.50067138671875,50.97492980957031,21.34019660949707
2010-02-15,,562.9599609375,47.50067138671875,50.97492980957031,21.34019660949707
2010-02-16,9769.6796875,562.9599609375,47.50067138671875,50.97492980957031,21.34019660949707
2010-02-17,9867.08984375,562.9599609375,47.50067138671875,50.97492980957031,21.34019660949707
2010-02-18,9889.2998046875,562.9599609375,47.50067138671875,50.97492980957031,21.34019660949707
2010-02-19,9902.6201171875,562.9599609375,47.50067138671875,50.97492980957031,21.34019660949707
